Code,Author_Name,Book_Name
100,Alexander Dumas,The Count of Monte Cristo
200,Alexander Dumas,The Man in the Iron Mask
300,Alexander Dumas,Ten Years Later
400,Alexander Dumas,The Borgias
500,Alexander Dumas,The Black Tulip
101,Bram Stoker,Dracula
201,Bram Stoker,Dracula's Guest
301,Bram Stoker,The Mystery of the Sea
401,Bram Stoker,The Jewel of Seven Stars
501,Bram Stoker,The Lair of the White Worm
102,Charles Dickens,A Chirstmas Carol
202,Charles Dickens,David Copperfield
302,Charles Dickens,Oliver Twist
402,Charles Dickens,Great Expectations
502,Charles Dickens,A Tale of Two Cities
103,Conan Doyle,A Study in Scarlet
203,Conan Doyle,The Hound of Baskervilles
303,Conan Doyle,The Sign of the Four
403,Conan Doyle,The Lost World
503,Conan Doyle,The Valley of Fear
104,Jane Austen,Pride and Prejudice
204,Jane Austen,Sense and Sensibility
304,Jane Austen,Emma
404,Jane Austen,Northanger Abbey
504,Jane Austen,Persuasion
105,Jules Verne,Twenty Thousand Leagues Under the Sea
205,Jules Verne,The Mysterious Island
305,Jules Verne,Around the World in 80 Days
405,Jules Verne,From the Earth to the Moon
505,Jules Verne,A Journey to the Center of the Earth
106,Lucy Maud Montgomery,Anne of Avonlea
206,Lucy Maud Montgomery,Anne of Green Gables
306,Lucy Maud Montgomery,Anne of the Island
406,Lucy Maud Montgomery,Anne's House of Dreams
506,Lucy Maud Montgomery,Rilla of Ingleside
107,Mark Twain,Adventures of Huckleberry Finn
207,Mark Twain,The Adventures of Tom Sawyer
307,Mark Twain,The Prince and the Pauper
407,Mark Twain,Roughing It
507,Mark Twain,The Innocents Abroad
108,Charlotte Bronte,Jane Eyre
208,Charlotte Bronte,The Professor
308,Charlotte Bronte,Shirley
408,Charlotte Bronte,Villette
109,Robert Louis Stevenson,Kidnapped
209,Robert Louis Stevenson,The Strange Case of Dr. Jekyll and Mr. Hyde
309,Robert Louis Stevenson,Treasure Island
110,H G Wells,The Time Machine
111,Emily Bronte,Wuthering Heights
112,Nathaniel Hawthorne,The Scarlet Letter
